Model,Train Accuracy,Test Accuracy,AUC-ROC,CV AUC (mean),Overfitting Gap
Logistic Regression,0.8589211618257261,0.8032786885245902,0.8712121212121212,0.8983294483294484,0.05564247330113592
Random Forest,0.9875518672199171,0.7704918032786885,0.8517316017316018,0.9024993524993524,0.21706006394122856
XGBoost,1.0,0.7377049180327869,0.8376623376623377,0.8973840973840973,0.2622950819672131
